Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
07/30/2024 21:26:13.916	EXCEL (0x24FB)	0x6BBDB000	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Diagnostics.Collector.LibletInit","Flags":28147514867777793,"InternalSequenceNumber":11,"Time":"2024-07-30T21:26:13.916Z","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.6","Activity.Duration":1087,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.DetachedDuration":91}	
07/30/2024 21:26:13.916	EXCEL (0x24FB)	0x6B807000	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.DoBackgroundTasks","Flags":28147523457712385,"InternalSequenceNumber":12,"Time":"2024-07-30T21:26:13.916Z","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.5","Activity.Duration":8702,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
07/30/2024 21:26:13.919	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Licensing.Nul.Mode.GetMode","Flags":28147506277843201,"InternalSequenceNumber":13,"Time":"2024-07-30T21:26:13.919Z","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.7","Activity.Duration":3601,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.ProductReleaseId":"unknown","Data.OrapiReadSuccess":false,"Data.DBSPolicySet":false,"Data.C2RGetPropertyResult":2147500033,"Data.IsC2RPropertySet":false,"Data.Mode":0,"Data.FellBack":false}	
07/30/2024 21:26:13.925	EXCEL (0x24FB)	0x1	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.RefreshIdentities","Flags":28147523457712385,"InternalSequenceNumber":14,"Time":"2024-07-30T21:26:13.925Z","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.1.4","Activity.Duration":2,"Activity.Count":1,"Activity.AggMode":0}	
07/30/2024 21:26:13.925	EXCEL (0x24FB)	0x1	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.RefreshIdentities","Flags":28147523457712385,"InternalSequenceNumber":15,"Time":"2024-07-30T21:26:13.925Z","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.1.5","Activity.Duration":3,"Activity.Count":1,"Activity.AggMode":0}	
07/30/2024 21:26:13.925	EXCEL (0x24FB)	0x1	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.RefreshIdentities","Flags":28147523457712385,"InternalSequenceNumber":16,"Time":"2024-07-30T21:26:13.925Z","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.1.6","Activity.Duration":2,"Activity.Count":1,"Activity.AggMode":0}	
07/30/2024 21:26:13.925	EXCEL (0x24FB)	0x1	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.RefreshIdentities","Flags":28147523457712385,"InternalSequenceNumber":17,"Time":"2024-07-30T21:26:13.925Z","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.1.7","Activity.Duration":2,"Activity.Count":1,"Activity.AggMode":0}	
07/30/2024 21:26:13.925	EXCEL (0x24FB)	0x1	Microsoft Excel	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.RefreshIdentities","Flags":28147523457712385,"InternalSequenceNumber":18,"Time":"2024-07-30T21:26:13.925Z","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.1.8","Activity.Duration":2,"Activity.Count":1,"Activity.AggMode":0}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	Liblet EnterpriseDataProtection actions	5nh2a	Medium	MsoEnterpriseDataProtectionInit {"IntuneMAMEnableOneAuth":true}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	WLM	ib6vf	Medium	Registry Load Time {"Seconds":0.003936,"Keys":681,"Values":1614}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	BGTask Manager	48voa	Medium	App Refresh task was registered {"preferedAppRefreshInterval":86400.000000,"taskName":"RegisterApplicationForDocumentNotifications"}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	BGTask Manager	48vn6	Medium	Processing task was registered {"identifier":"com.microsoft.office.bgtask.expunge_cache","requiresExternalPower":false,"requiresNetworkConnectivity":false,"taskName":"ExpungeCacheProcessingTask"}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	BGTask Manager	48vny	Medium	Tried to register app refresh tasks to OS {"appRefreshTasksCount":1,"registered":true}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	BGTask Manager	48vnw	Medium	Tried to register processing task to OS {"identifier":"com.microsoft.office.bgtask.expunge_cache","registered":true,"taskName":"ExpungeCacheProcessingTask"}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	OfficeTelemetry_PerfMetrics	bob3i	Medium	Application Boot Finish {"bootTimeLaunchStart":10318785537526,"bootTimeLaunchDidFinish":10318790468446,"bootTimeLaunchDuration":205455,"MemoryInfoAvailable":true,"ResidentSize":49201152,"VirtualSize":420680155136,"LaunchType":"Launch","ActivePreWarm":"1"}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	Telemetry Event	biyhq	Medium	SendEvent {"EventName":"Office.Release.AudienceApi.InitAudienceData","Flags":28147523457712385,"InternalSequenceNumber":1,"Time":"2024-07-30T21:26:13.855Z","AriaTenantToken":"3a5d8522875d4c0cab910ff387cdbfb5-2c8b80ff-6a32-439d-9197-1ecda9fe5d2c-7140","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.2","Activity.Duration":5529,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.IsLab":false,"Data.IsDev":false,"Data.IsPlatformSpecificInit":true,"Data.Audience":"Production","Data.AudienceGroup":"Production","Data.Channel":"CC","Data.PreviousBuild":"Unknown","Data.InstallMethod":0}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	Experiment Liblet	9x5is	Medium	ExperimentationInternalAudience {"IsInternal":false,"IsLabMachine":false,"IsDebugBuild":false,"RDXAudienceGroup":"Production"}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	WLM	icd55	Monitorable	Failed to traverse key path with flags {"KeyPath":"HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Office\\Common\\Experiment","Flags":4}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	WLM	icd55	Monitorable	Failed to traverse key path with flags {"KeyPath":"HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Office\\Common\\Experiment","Flags":4}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	WLM	icd55	Monitorable	Failed to traverse key path with flags {"KeyPath":"HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Office\\Common\\Experiment","Flags":4}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	WLM	icd55	Monitorable	Failed to traverse key path with flags {"KeyPath":"HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Office\\Common\\Experiment","Flags":4}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	Telemetry Event	biyhq	Medium	SendEvent {"EventName":"Office.Experimentation.DeserializeEcsConfig","Flags":28147506277843201,"InternalSequenceNumber":2,"Time":"2024-07-30T21:26:13.862Z","AriaTenantToken":"e6e58d16cfb94942b795b4918258153a-765be17b-66ea-435e-8b55-5a128f3decd3-6873","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.3.1.1","Activity.Duration":3188,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
07/30/2024 21:26:13.928	EXCEL (0x24FB)	0x6B77B000	Microsoft Excel	Telemetry Event	biyhq	Medium	SendEvent {"EventName":"Office.Experimentation.ReadEcsConfig","Flags":28147506277843201,"InternalSequenceNumber":3,"Time":"2024-07-30T21:26:13.865Z","AriaTenantToken":"e6e58d16cfb94942b795b4918258153a-765be17b-66ea-435e-8b55-5a128f3decd3-6873","Contract":"Office.System.Activity","Activity.CV":"8seV8xkthUiXwwWL+hrgrQ.3.1","Activity.Duration":8005,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true}	
